zeit,sepp,franz,bert,georg,dieter,norbert,klaus,der
1881,0,0,0,0,0,0,0,0
1882,4.5,0.75,0,0,0,0,0,0
1883,4.5,2,0,0,1.5,0,0,0
1884,1,0,0,0,0,0,0,1
1885,5.5,0,0,0,0,0,2.5,3
1886,8.5,0,0,0,1,0,3,2
1887,2,0,0,0.5,1,0,0.5,0
1888,5.833333,7,0,0.5,1.833333,0,0,0
1889,0.5,7,2,3,3.5,0,0,0
1890,0.5,2,0,0,0,0,0,0
1891,3.5,2.5,0,4,1,0,1,0
1892,2.833333,1,0,0,0,0,0,0
1893,2,6,0,0,2,0,2.5,0
1894,1,8.2,0,1,0,0,0,0
1895,0,6,0,0,0,0,0,0
1896,2,2,0,0,0,4,0,0
1897,2.25,0.45,0,3,0,0,1,0
1898,1,3.5,1,1,3.5,1,0,0
1899,0,4,0,4,1,0,0,0
1900,0,12,8.5,0,0,0,0.5,0
1901,0,4,15.5,0,0,2,0.5,0
1902,0,0.5,30.33333,3.833333,0,1,0,0
1903,0.5,1,2,5.5,1,0.5,0,0
1904,1,1,0,0,0,2.5,2.5,0
1905,2,0,0,0,2,0,1.5,0
1906,1,1,0,0,0,2,5,0
1907,0,0,0,1,0,0.5,2,0
1908,0,1,0,2,3,1,0,0
1909,3.5,4.5,0,0.3333333,1,1,2,3.333333
1910,1,1.5,0,0.5,0,13.5,2.5,3
1911,0.2,0,0,1,5,4.5,0,18.7
1912,1.5,0,0,0,0,1,0,1.5
1913,1,15.33333,0,0,0,0,0,0
1914,1,5,0,0,0,0,0,0
1915,1,0,4.5,0,0.5,0,0,0
1916,1,0,0,0,0,0,1,0
1917,0,0,1,0,0,3,0,0
1918,0,0,0,0,0,0,0,0
1919,0,1,8.5,0,1,0,0.5,1
1920,0,0,1.5,0,0,0,3,0
1921,0,6,0,0,0.5,1,3.5,1
1922,0.5,2.5,0,0,0.5,2.5,0,2
1923,0,1.5,3.5,0,5.5,3,10.5,6
1924,0,8,0,1,0.5,0,0,2.5
1925,0,0,0,0,0,1,5.5,0
1926,0,0.5,0,0,0,1,0,0.5
1927,0,2,1.5,1,5,0,11,0.5
1928,0,0,0,0,0,1,12.5,0
1929,0,0.8333333,1,2,1.5,17.5,7,0
1930,0,2.333333,0,7,0,5,0,0
1931,0,0.3333333,1,1,1,3,0,6.833333
1932,0,4.5,0,0,0,8,0,2.5
1933,0,6.333333,0,1,4,5.833333,0,0
1934,7.833333,0,4.5,1,3.5,0.5,0.5
